Year,quarter,city1,city2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2
1993,4,"Huntsville, AL","Washington, DC (Metropolitan Area)",HSV,IAD,640,21,242.76,DL,0.48,275.5,UA,0.25,197.69,"34.729538, -86.585283","38.892062, -77.019912"
1993,1,"Houston, TX","San Francisco, CA (Metropolitan Area)",IAH,OAK,1657,51,272.66,HP,0.64,230.26,HP,0.64,230.26,"29.760803, -95.369506","37.78008, -122.420168"
1993,4,"Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)",MIA,TPA,204,296,84.74,US,0.72,83.72,US,0.72,83.72,"44.977479, -93.264346","37.8606, -78.804199"
1993,1,"Birmingham, AL","Los Angeles, CA (Metropolitan Area)",BHM,LGB,1815,2,290.64,AA,1.0,290.64,AA,1.0,290.64,"33.522859, -86.807705","34.052238, -118.243344"
1993,1,"New York City, NY (Metropolitan Area)","Richmond, VA",SWF,RIC,325,4,173.52,US,0.81,178.83,US,0.81,178.83,"40.123164, -75.333718","37.540759, -77.433932"
1994,1,"Chicago, IL","Omaha, NE",CHI,OMA,423,0,179.2,AA,0.5,134.95,AA,0.5,134.95,"41.775002, -87.696388","46.07035, -93.666319"
1996,3,"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",SNA,SLC,590,414,93.19,DL,0.95,89.86,DL,0.95,89.86,"34.052238, -118.243344","40.758478, -111.888142"
1993,1,"San Diego, CA","Washington, DC (Metropolitan Area)",SAN,DCA,2295,266,290.94,AA,0.26,343.23,NW,0.24,209.78,"32.71576, -117.163817","38.892062, -77.019912"
1993,2,"Miami, FL (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",FLL,ORF,812,66,193.45,US,0.45,202.81,DL,0.36,192.99,"44.977479, -93.264346","36.846164, -76.285913"
1994,1,"Boston, MA (Metropolitan Area)","Nashville, TN",PVD,BNA,943,27,254.88,US,0.49,250.63,AA,0.18,231.81,"42.358894, -71.056742","36.166687, -86.779932"
1993,4,"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",CAK,PBI,1020,20,197.28,US,0.65,194.71,CO,0.12,180.68,"41.505546, -81.6915","33.90976, -98.500854"
1993,1,"Miami, FL (Metropolitan Area)","Milwaukee, WI",MIA,MKE,1259,192,173.29,NW,0.54,155.89,NW,0.54,155.89,"44.977479, -93.264346","43.041072, -87.909421"
1993,1,"Miami, FL (Metropolitan Area)","Nashville, TN",MIA,BNA,806,152,197.82,AA,0.75,204.68,DL,0.17,169.97,"44.977479, -93.264346","36.166687, -86.779932"
1993,3,"Denver, CO","Tampa, FL (Metropolitan Area)",DEN,TPA,1506,217,219.49,CO,0.54,206.18,CO,0.54,206.18,"39.738453, -104.984853","37.8606, -78.804199"
1993,2,"Little Rock, AR","Washington, DC (Metropolitan Area)",LIT,WAS,913,5,258.62,DL,0.91,258.57,DL,0.91,258.57,"34.748745, -92.275105","38.892062, -77.019912"
1993,3,"Tampa, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",TPA,IAD,842,125,170.24,UA,0.7,150.71,TW,0.04,117.7,"37.8606, -78.804199","38.892062, -77.019912"
1993,3,"Cleveland, OH (Metropolitan Area)","Phoenix, AZ",CLE,PHX,1754,233,193.63,WN,0.32,140.44,WN,0.32,140.44,"41.505546, -81.6915","30.406931, -87.217578"
1994,1,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",LAX,EWR,2510,1381,349.32,UA,0.32,354.79,CO,0.3,325.32,"34.052238, -118.243344","40.123164, -75.333718"
1996,1,"Colorado Springs, CO","New York City, NY (Metropolitan Area)",COS,JFK,1678,5,255.3,TW,0.34,273.68,HP,0.22,234.14,"38.835224, -104.819798","40.123164, -75.333718"
1996,1,"San Francisco, CA (Metropolitan Area)","Tulsa, OK",SJC,TUL,1465,30,187.98,AA,0.45,195.03,WN,0.15,167.75,"37.78008, -122.420168","61.096484, -160.967455"
1993,4,"Chicago, IL","Tulsa, OK",CHI,TUL,587,1,110.73,TW,0.75,116.5,CO,0.25,93.45,"41.775002, -87.696388","61.096484, -160.967455"
1993,1,"San Francisco, CA (Metropolitan Area)","Seattle, WA",SFO,SEA,696,866,228.59,UA,0.54,254.66,BF,0.12,145.4,"37.78008, -122.420168","47.603229, -122.33028"
1993,1,"Chicago, IL","Tucson, AZ",ORD,TUS,1442,269,235.74,AA,0.6,240.46,UA,0.27,217.47,"41.775002, -87.696388","35.167852, -103.726151"
1996,2,"Albany, NY","Miami, FL (Metropolitan Area)",ALB,MIA,1225,50,162.52,US,0.44,159.26,AA,0.11,149.65,"42.651242, -73.755418","44.977479, -93.264346"
1994,1,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",ATL,BUR,1946,21,324.51,AA,0.43,299.81,UA,0.11,247.33,"33.748547, -84.391502","34.052238, -118.243344"
1996,4,"Milwaukee, WI","New York City, NY (Metropolitan Area)",MKE,NYC,777,44,212.8,YX,0.97,211.22,YX,0.97,211.22,"43.041072, -87.909421","40.123164, -75.333718"
1996,1,"Atlantic City, NJ","Orlando, FL",ACY,MCO,852,111,95.23,NK,0.93,91.49,NK,0.93,91.49,"33.748547, -84.391502","28.538331, -81.378879"
1993,4,"Portland, OR","Washington, DC (Metropolitan Area)",PDX,DCA,2358,164,282.23,UA,0.46,277.83,NW,0.19,251.77,"45.516018, -122.681425","38.892062, -77.019912"
1993,2,"Boston, MA (Metropolitan Area)","San Diego, CA",BOS,SAN,2588,425,252.27,AA,0.34,241.03,CO,0.1,200.7,"42.358894, -71.056742","32.71576, -117.163817"
1996,1,"Los Angeles, CA (Metropolitan Area)","Oklahoma City, OK",SNA,OKC,1187,39,203.27,UA,0.43,199.85,UA,0.43,199.85,"34.052238, -118.243344","35.468494, -97.521264"
1993,3,"Boston, MA (Metropolitan Area)","Portland, OR",MHT,PDX,2537,12,309.42,UA,0.8,321.74,CO,0.08,186.82,"42.358894, -71.056742","45.516018, -122.681425"
1996,1,"Dallas/Fort Worth, TX","Midland/Odessa, TX",DFW,MAF,319,75,86.97,AA,0.96,87.06,AA,0.96,87.06,"40.11086, -77.035636","31.997433, -102.078043"
1994,1,"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",BOS,CAK,563,18,220.17,US,0.7,216.37,HP,0.12,203.48,"42.358894, -71.056742","41.505546, -81.6915"
1993,4,"Minneapolis/St. Paul, MN","New York City, NY (Metropolitan Area)",MSP,ISP,1057,11,272.19,AA,0.32,265.35,NW,0.18,207.05,"44.977479, -93.264346","40.123164, -75.333718"
1993,2,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",GRR,LGA,656,85,181.35,NW,0.39,186.53,UA,0.1,163.72,"47.925705, -97.036068","40.123164, -75.333718"
1993,4,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",SWF,BWI,265,2,164.68,US,0.46,166.27,AA,0.2,95.86,"40.123164, -75.333718","38.892062, -77.019912"
1994,1,"Dallas/Fort Worth, TX","Houston, TX",DAL,IAH,252,346,72.0,WN,1.0,72.0,WN,1.0,72.0,"40.11086, -77.035636","29.760803, -95.369506"
1993,4,"Chicago, IL","Norfolk, VA (Metropolitan Area)",ORD,ORF,717,201,223.4,UA,0.72,218.7,CO,0.02,175.07,"41.775002, -87.696388","36.846164, -76.285913"
1996,3,"Las Vegas, NV","New York City, NY (Metropolitan Area)",LAS,ISP,2283,25,174.32,US,0.49,157.29,US,0.49,157.29,"36.169202, -115.140597","40.123164, -75.333718"
1996,2,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",JFK,WAS,265,4,100.68,TW,1.0,100.68,TW,1.0,100.68,"40.123164, -75.333718","38.892062, -77.019912"
